userID	artistID	weight
4	51	228
4	65	301
4	72	4983
4	154	826
4	157	732
4	163	465
4	173	292
4	190	208
5	154	884
5	173	241
5	190	826
5	203	287
5	207	259
5	227	138
5	228	138
5	229	138
5	230	137
7	55	3151
7	67	2540
7	89	5846
7	257	5188
7	288	43864
7	289	11112
7	291	5379
7	292	4201
7	294	3251
7	295	2852
7	298	1802
7	300	1747
7	302	1490
7	306	1164
7	318	753
7	333	498
8	89	921
8	257	479
8	288	428
8	289	2258
8	291	402
8	292	783
8	295	1425
8	298	613
8	300	347
8	302	432
8	344	553
10	154	177
10	228	279
10	229	992
11	67	229
11	89	3384
11	157	1007
11	230	329
11	288	749
11	289	3851
11	292	555
11	294	264
11	295	521
11	300	347
11	306	249
11	344	243
11	455	4416
11	461	1500
11	464	1117
11	466	956
12	72	2144
12	230	2110
12	288	3072
12	300	1064
12	333	23961
12	344	5489
12	377	59695
12	378	31617
12	466	1485
12	486	24097
12	498	3134
12	503	1714
12	511	1278
13	55	6
13	67	9
13	89	3967
13	173	6
13	228	6
13	292	4
13	295	2
13	298	16
13	300	2
13	302	9
13	318	2
13	333	38
13	344	2
13	378	2
13	461	3
13	466	4
13	498	6
13	533	2
15	154	751
15	203	352
15	227	747
15	511	740
15	599	1141
17	56	242
17	67	303
17	89	1255
17	229	610
17	230	120
17	288	129
17	289	118
17	292	110
17	298	215
17	300	1089
17	306	144
17	344	1804
17	461	984
17	464	266
17	466	925
17	498	1544
17	679	14436
17	687	370
17	701	115
18	56	186
18	65	234
18	72	404
18	163	230
18	190	544
18	227	630
18	230	400
18	378	204
18	511	496
18	533	576
21	55	4097
21	67	219
21	89	406
21	288	474
21	289	4620
21	292	437
21	295	152
21	298	149
21	300	252
21	302	118
21	306	138
21	318	215
21	461	436
21	466	222
21	679	159
21	701	732
23	72	1752
23	163	124
23	227	143
23	511	752
23	599	652
24	55	5956
24	67	6917
24	89	661
24	157	538
24	229	2443
24	257	1203
24	288	677
24	289	1192
24	291	516
24	295	506
24	298	1226
24	300	1729
24	302	1037
24	333	466
25	55	185
25	67	278
25	89	311
25	157	1694
25	288	208
25	289	1623
25	292	404
25	294	141
25	295	312
25	302	120
25	318	431
25	455	3009
25	701	130
29	55	404
29	89	153
29	288	42
29	289	79
29	292	34
29	300	68
29	302	121
29	318	24
29	333	337
29	378	27
29	455	26
29	461	40
29	464	32
29	466	501
29	498	445
29	679	293
29	687	2000
30	89	648
30	190	120
30	228	209
30	229	152
30	230	259
30	288	203
30	289	1231
30	291	102
30	295	184
30	300	512
30	318	305
30	333	522
30	344	148
30	455	105
30	461	1375
30	498	1604
30	679	321
30	687	131
30	1048	1433
32	72	236
32	154	435
32	173	5023
32	190	1837
32	203	3554
32	227	520
32	230	162
32	377	169
32	533	278
32	599	194
34	72	1881
34	163	1416
34	173	775
34	227	908
34	229	235
34	511	246
34	599	1387
42	65	1897
42	89	122
42	154	1637
42	173	199
42	190	2336
42	228	150
42	229	1209
42	288	251
42	289	197
42	291	377
42	302	292
42	377	168
42	378	1050
42	511	130
42	1048	125
43	56	2691
43	65	635
43	89	301
43	154	1561
43	190	409
43	207	214
43	227	323
43	229	231
43	230	133
43	306	234
43	377	1028
43	486	227
44	67	162
44	163	915
44	190	312
44	227	1493
44	917	425
44	918	177
45	89	2319
45	288	6497
45	289	548
45	291	143
45	292	515
45	295	174
45	300	851
45	302	113
45	306	822
45	333	154
45	461	1916
45	466	307
45	701	1171
46	89	2199
46	288	31427
46	289	1016
46	291	248
46	292	1052
46	295	3269
46	300	3579
46	302	284
46	306	1989
46	333	1165
46	344	278
46	461	973
46	464	3052
46	466	4521
46	498	688
46	679	252
46	701	993
47	230	7454
47	257	346
47	288	1194
47	289	12197
47	291	781
47	292	1075
47	294	302
47	298	642
47	300	545
47	302	481
47	318	1344
47	333	1001
47	344	998
47	455	663
47	461	1679
47	464	231
47	466	2098
47	498	336
47	701	422
48	55	13
48	67	17476
48	89	112
48	157	60
48	227	15
48	230	18
48	288	13
48	289	23
48	295	6
48	300	38
48	378	78
48	511	483
48	533	17
48	679	5
48	701	14
50	56	672
50	65	1984
50	163	759
50	173	278
50	207	3642
50	227	2135
50	228	3036
50	229	808
50	230	262
50	511	528
50	533	9355
50	1048	2689
51	163	380
51	173	339
51	503	1446
51	917	1409
51	918	3549
53	55	33
53	67	64
53	89	1872
53	288	1620
53	289	267
53	292	332
53	300	4332
53	302	56
53	306	147
53	318	24
53	333	34
53	466	532
53	498	28
53	701	128
54	55	116
54	67	57
54	288	118
54	289	16391
54	291	201
54	292	233
54	298	73
54	318	1123
54	333	346
54	378	42
54	701	230
