18	0	0	3301
18	0	1	2619
18	0	2	1519
19	0	1	4983
20	0	3	138
21	0	0	2540
21	0	2	5846
21	0	4	43864
21	0	5	11112
21	0	6	4201
21	0	7	2852
21	0	8	1747
21	0	9	498
22	0	2	921
22	0	4	428
22	0	5	2258
22	0	6	783
22	0	7	1425
22	0	8	347
22	0	10	553
23	0	11	590
24	0	0	229
24	0	2	3384
24	0	4	749
24	0	5	3851
24	0	6	555
24	0	7	521
24	0	8	347
24	0	10	243
24	0	12	1500
25	0	1	2144
25	0	4	3072
25	0	8	1064
25	0	9	23961
25	0	10	5489
25	0	11	31617
25	0	13	24097
25	0	14	3134
25	0	15	1278
26	0	0	9
26	0	2	3967
26	0	6	4
26	0	7	2
26	0	8	2
26	0	9	38
26	0	10	2
26	0	11	2
26	0	12	3
26	0	14	6
27	0	3	747
27	0	15	740
28	0	2	849
29	0	0	303
29	0	2	1255
29	0	4	129
29	0	5	118
29	0	6	110
29	0	8	1089
29	0	10	1804
29	0	12	984
29	0	14	1544
29	0	16	14436
29	0	17	115
30	0	1	404
30	0	3	630
30	0	11	204
30	0	15	496
0	1	18	3301
1	1	18	2619
2	1	18	1519
1	1	19	4983
3	1	20	138
0	1	21	2540
2	1	21	5846
4	1	21	43864
5	1	21	11112
6	1	21	4201
7	1	21	2852
8	1	21	1747
9	1	21	498
2	1	22	921
4	1	22	428
5	1	22	2258
6	1	22	783
7	1	22	1425
8	1	22	347
10	1	22	553
11	1	23	590
0	1	24	229
2	1	24	3384
4	1	24	749
5	1	24	3851
6	1	24	555
7	1	24	521
8	1	24	347
10	1	24	243
12	1	24	1500
1	1	25	2144
4	1	25	3072
8	1	25	1064
9	1	25	23961
10	1	25	5489
11	1	25	31617
13	1	25	24097
14	1	25	3134
15	1	25	1278
0	1	26	9
2	1	26	3967
6	1	26	4
7	1	26	2
8	1	26	2
9	1	26	38
10	1	26	2
11	1	26	2
12	1	26	3
14	1	26	6
3	1	27	747
15	1	27	740
2	1	28	849
0	1	29	303
2	1	29	1255
4	1	29	129
5	1	29	118
6	1	29	110
8	1	29	1089
10	1	29	1804
12	1	29	984
14	1	29	1544
16	1	29	14436
17	1	29	115
1	1	30	404
3	1	30	630
11	1	30	204
15	1	30	496
0	2	1	1
0	2	2	5
1	2	2	1
0	2	4	3
0	2	5	3
0	2	6	4
0	2	7	3
0	2	8	4
0	2	9	2
2	2	4	4
2	2	5	4
2	2	6	5
2	2	7	4
2	2	8	5
2	2	9	2
4	2	5	4
4	2	6	4
4	2	7	3
4	2	8	5
4	2	9	2
5	2	6	4
5	2	7	3
5	2	8	4
5	2	9	1
6	2	7	4
6	2	8	5
6	2	9	2
7	2	8	4
7	2	9	2
8	2	9	3
2	2	10	4
4	2	10	4
5	2	10	3
6	2	10	4
7	2	10	3
8	2	10	5
0	2	10	3
0	2	12	3
2	2	12	3
4	2	12	2
5	2	12	2
6	2	12	3
7	2	12	2
8	2	12	3
10	2	12	3
1	2	4	1
1	2	8	1
1	2	9	1
1	2	10	1
1	2	11	2
1	2	13	1
1	2	14	1
1	2	15	2
4	2	11	1
4	2	13	1
4	2	14	2
4	2	15	1
8	2	11	2
8	2	13	1
8	2	14	3
8	2	15	1
9	2	10	2
9	2	11	2
9	2	13	1
9	2	14	2
9	2	15	1
10	2	11	2
10	2	13	1
10	2	14	3
10	2	15	1
11	2	13	1
11	2	14	2
11	2	15	2
13	2	14	1
13	2	15	1
14	2	15	1
0	2	11	1
0	2	14	2
2	2	11	1
2	2	14	2
6	2	11	1
6	2	14	2
7	2	11	1
7	2	14	1
9	2	12	1
11	2	12	1
12	2	14	2
3	2	15	2
0	2	16	1
0	2	17	1
2	2	16	1
2	2	17	1
4	2	16	1
4	2	17	1
5	2	14	1
5	2	16	1
5	2	17	1
6	2	16	1
6	2	17	1
8	2	16	1
8	2	17	1
10	2	16	1
10	2	17	1
12	2	16	1
12	2	17	1
14	2	16	1
14	2	17	1
16	2	17	1
1	2	3	1
3	2	11	1
1	3	0	1
2	3	0	5
2	3	1	1
4	3	0	3
5	3	0	3
6	3	0	4
7	3	0	3
8	3	0	4
9	3	0	2
4	3	2	4
5	3	2	4
6	3	2	5
7	3	2	4
8	3	2	5
9	3	2	2
5	3	4	4
6	3	4	4
7	3	4	3
8	3	4	5
9	3	4	2
6	3	5	4
7	3	5	3
8	3	5	4
9	3	5	1
7	3	6	4
8	3	6	5
9	3	6	2
8	3	7	4
9	3	7	2
9	3	8	3
10	3	2	4
10	3	4	4
10	3	5	3
10	3	6	4
10	3	7	3
10	3	8	5
10	3	0	3
12	3	0	3
12	3	2	3
12	3	4	2
12	3	5	2
12	3	6	3
12	3	7	2
12	3	8	3
12	3	10	3
4	3	1	1
8	3	1	1
9	3	1	1
10	3	1	1
11	3	1	2
13	3	1	1
14	3	1	1
15	3	1	2
11	3	4	1
13	3	4	1
14	3	4	2
15	3	4	1
11	3	8	2
13	3	8	1
14	3	8	3
15	3	8	1
10	3	9	2
11	3	9	2
13	3	9	1
14	3	9	2
15	3	9	1
11	3	10	2
13	3	10	1
14	3	10	3
15	3	10	1
13	3	11	1
14	3	11	2
15	3	11	2
14	3	13	1
15	3	13	1
15	3	14	1
11	3	0	1
14	3	0	2
11	3	2	1
14	3	2	2
11	3	6	1
14	3	6	2
11	3	7	1
14	3	7	1
12	3	9	1
12	3	11	1
14	3	12	2
15	3	3	2
16	3	0	1
17	3	0	1
16	3	2	1
17	3	2	1
16	3	4	1
17	3	4	1
14	3	5	1
16	3	5	1
17	3	5	1
16	3	6	1
17	3	6	1
16	3	8	1
17	3	8	1
16	3	10	1
17	3	10	1
16	3	12	1
17	3	12	1
16	3	14	1
17	3	14	1
17	3	16	1
3	3	1	1
11	3	3	1
